event_id,book,market,outcome_name,outcome_price,ts
1023364183,betrivers,h2h,,,2025-08-29 23:55:11.372666+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:11.381395+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:11.389964+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:11.395016+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:11.397576+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:11.400675+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:11.403452+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:11.407812+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:11.411341+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:11.414637+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:11.418583+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:11.422516+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:11.4284+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:11.432693+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:11.43627+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:11.43889+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:11.444073+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:11.446981+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:20.041974+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:20.054344+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:20.065503+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:20.08669+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:20.149716+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:20.181049+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:20.213175+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:20.271353+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:20.281968+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:20.286451+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:20.292631+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:20.298097+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:20.301449+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:20.306018+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:20.322258+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:20.330705+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:20.336272+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:20.339509+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:20.343638+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:20.347276+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:20.350343+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:20.353829+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:20.358166+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:20.361858+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:20.364691+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:20.367698+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:20.370646+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:20.373567+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:20.379741+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:20.384509+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:21.371573+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:21.378167+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:21.381565+00
