event_id,market,selection,price,line,ts
1024110487,h2h,home,67,,2025-08-29 23:55:10+00
1024814618,h2h,home,1.91,,2025-08-29 23:55:10+00
1024777705,h2h,home,4.1,,2025-08-29 23:55:10+00
1022635843,h2h,home,8,,2025-08-29 23:55:10+00
1024714782,h2h,home,1.18,,2025-08-29 23:55:10+00
1024387796,h2h,home,1.56,,2025-08-29 23:55:10+00
1022037250,h2h,home,2.85,,2025-08-29 23:55:10+00
1024805317,h2h,home,1.64,,2025-08-29 23:55:10+00
1024794857,h2h,home,4.1,,2025-08-29 23:55:10+00
1022037238,h2h,home,9,,2025-08-29 23:55:10+00
1022037241,h2h,home,1.65,,2025-08-29 23:55:10+00
1022037245,h2h,home,2.17,,2025-08-29 23:55:10+00
1022037256,h2h,home,1.68,,2025-08-29 23:55:10+00
1022037257,h2h,home,2.95,,2025-08-29 23:55:10+00
1022635843,h2h,home,8,,2025-08-29 23:55:10+00
1024387439,h2h,home,1.01,,2025-08-29 23:55:10+00
1024777705,h2h,home,4.1,,2025-08-29 23:55:10+00
